,Unnamed: 0,date,username,tweet,hashtags,nlikes,Sentiment,Score
44,44,2021-10-20 11:36:07,Dharray007,"Just one government oh,   1. border closure 2. twitter ban 3. blaming middle men for food increase 4. insecurity in 3 regions in Nigeria,  5. Nigerian record debts 6. Unemployment. 7. Extra- judicial killing of citizens. 9. Worst drop in exchange rate since 1999.",[],2,NEGATIVE,0.9995
45,45,2021-10-20 03:51:41,AlexanderHammo,"Although Nigeria deposited its instruments of ratification for the African Continental Free Trade Area on December 5, 2020, its trade policy and recent border closures with Benin, Cameroon, Chad and Niger indicate that in reality, its gov't has no appetite for genuine free trade.",[],6,NEGATIVE,0.9989
46,46,2021-10-19 20:27:55,Orodata,"Nigeria is the largest consumer of rice in Africa, following the closure of the borders, no fewer than 200 rice processing industries came into existence in Kano State alone.   consumer closure border industries nigeria processing kano  ","['consumer', 'closure', 'border', 'industries', 'nigeria', 'processing', 'kano']",1,NEGATIVE,0.9858
47,47,2021-10-13 15:26:44,PatrioticKitten,"     Health orgs in Africa already focus more on infectious disease than Western countries, which tend to focus on non-communicable diseases, so they already had a response plan in place, like immediate border closures and stringent lockdowns. Nigeria also has a much younger 1/2",[],0,NEGATIVE,0.9818
48,48,2021-10-11 11:04:02,basilabia,"The most destructive economic policy in Nigeria since 1999 still remains sleepy ’s cataclysmic land border closure policy in 2019, mostly because of the sheer scale of misery the misfortune of a policy engineered.   What Buhari cannot destroy does not exist.   Bin!!! 🗑",[],3,NEGATIVE,0.9988
49,49,2021-10-08 10:31:51,Dharray007,"Ideas like grazing routes, border closure, blaming middlemen for inflation is what has dashed Nigeria recession for every time we voted Buhari.  Thank God his tenure ends in 2023, we probably would have been expecting another recession in 2024/2025",[],0,NEGATIVE,0.9956
50,50,2021-10-06 20:37:55,SirSeriki,Nigeria closed it's borders in an effort to stop the importation of certain agricultural products. The border closure was never to keep fellow Africans out.,[],0,NEGATIVE,0.9994
51,51,2021-10-05 05:13:23,Nemzolee,"The older generation who witnessed the 1983 coup should tell us how Nigeria's economy resurrected after being buried by this Reformed Democrat.  I mean, was the inflation and recession in 1983-85 as bad as it is today? How did you survive the border closure?",[],1,NEGATIVE,0.9891
52,52,2021-10-04 05:56:16,Ambrose100, What is AfCFTA. What is the use of AfCFTA: With visa restrictions for Africans in Africa. Border closure No common currency  Herculean travel restrictions  Lack of directs flights from one African country to the other.  Easy to travel a Europe from Nigeria than to senegal,[],0,NEGATIVE,0.9971
53,53,2021-10-03 16:56:57,biniman9613," France view us as a threat to their dominance in West Africa and you close the border without consulting the exporters? In whose interest was the border closure? You can bring a car into Nigeria through Niger without hassles but through Seme, the border is fortified.",[],0,NEGATIVE,0.9195
54,54,2021-09-29 16:07:42,AccountCitizens,"Nigeria has close off its borders to African countries for the last 19 months now.  YES their borders are CLOSED to Africa even today.   They closed them to STOP amongst other high immigration and crime from their neighbors.  In SA🇿🇦, border closure is xenophobia😡  VoetsekEFF  ",['voetsekeff'],29,NEGATIVE,0.9821
55,55,2021-09-24 19:02:52,oga_pharmacist, Still going on this foolish part??? Isn't Nigeria in serious trouble like this???  Border closure that raised inflation???🤡🤡🤡🤡,[],7,NEGATIVE,0.9986
56,56,2021-09-23 05:16:28,borgresearch,"Border closures take place frequently across the continent.  For instance, Kenya closed its border with Somalia in 2019 due to concerns of smuggling, transhipment and security. Similarly, Nigeria imposed closure due to trade-related concerns months later.  ",[],15,NEGATIVE,0.9801
57,57,2021-09-23 01:14:26,_efuaG,_sunday    Nor b everything be fight o. I had to go look at your profile to be sure you reside in Nigeria. No matter how much infrastructure u deliver. If your people are dieing of hunger. All effort is useless. The hardship started from that very border closure when he came into power.,[],0,NEGATIVE,0.9995
58,58,2021-09-22 21:44:35,KingTriZi,"Border Closure Helped Nigeria Tremendously, Buhari Tells Queen Of Netherlands: President Muhammadu Buhari has expressed that the closure of the country’s borders for over one year helped Nigeria “tremendously”. The president, who is currently in New York for the 76th... The…  ",[],0,POSITIVE,0.999
59,59,2021-09-22 20:29:16,AlexOlawale4, Border closure only in the south ..especially west to clips down lagos economy...but borders in the was freely opened for boko haram fulanis and bandit to enter and goes out of Nigeria.....we regretted voting you,[],1,NEGATIVE,0.9622
60,60,2021-09-20 07:00:32,the_iatp,"Although Nigeria ratified the AfCFTA in December 2020, the notion that the country’s recent border closures are the policies of a nation ready to embrace free trade is laughable.  ",[],1,NEGATIVE,0.9937
61,61,2021-09-18 20:14:28,achemejnr,"_mattahorn Buhari is  out  destroy anything  good in Nigeria, how  can one explain the present raid in the  south by EFCC, first it was a  border closure now hotels and eateries.",[],0,NEGATIVE,0.9994
62,62,2021-09-17 22:15:36,ChristianZeth1,"Now that AbokiFx has shutdown updates of rates, how will that help naira rise?   Same thing this govt did with border closure. How did it help food production, particularly rice in Nigeria?   ""It was closed to curb insecurity"" are we secured 2day?  Wat do these guys smoke in APC?",[],0,NEGATIVE,0.9983
63,63,2021-09-17 18:19:42,its_Sammy_1,"Now that AbokiFx has shutdown updates of rates, how will that help naira rise?   Same thing this govt did with border closure. How did it help food production, particularly rice in Nigeria?   ""It was closed to curb insecurity""are we secured today?  Wat do these guys smoke in APC?",[],0,NEGATIVE,0.998
64,64,2021-09-17 10:03:38,PaulChiadi16,"Now that AbokiFx has shutdown updates of rates, how will that help naira rise?   Same thing this govt did with border closure. How did it help food production, particularly rice in Nigeria?   ""It was closed to curb insecurity"" are we secured 2day?  Wat do these guys smoke in APC?",[],1,NEGATIVE,0.9983
65,65,2021-09-17 08:43:06,AfamDeluxo,"Now that AbokiFx has shutdown updates of rates, how will that help naira rise?   Same thing this govt did with border closure. How did it help food production, particularly rice in Nigeria?   ""It was closed to curb insecurity"" are we secured 2day?  Wat do these guys smoke in APC?",[],669,NEGATIVE,0.9983
66,66,2021-09-16 20:22:16,_SirWilliam_," See there are no coincidences in Nigeria.  What EFCC is doing is straight up economic sabotage, border closure protocol.  With the aim of disrupting businesses down south..it's not an error, it's by design..",[],143,NEGATIVE,0.9867
67,67,2021-09-16 13:05:23,zyxnix,"  _gorp_fiend Nigeria is also the country that uses unilateral border closures as a blunt force instrument of economic policy, in contravention of the regional and continental free trade agreements it signs.",[],0,NEGATIVE,0.9732
68,68,2021-09-12 15:20:50,DefenseNigeria,..leadership. Contemplate this singular gesture employed on a strategic scale. Total closure and monitoring of all entry points into Nigeria in the border region and Lake Chad by air land and sea.,[],58,POSITIVE,0.9982
69,69,2021-09-12 09:02:15,TheMideOlayinka,Nigeria’s border closure policy led to 22% food inflation and a rise in food prices in less than two years.,[],2,NEGATIVE,0.9932
70,70,2021-09-05 08:20:44,davexam,"    You said Nigeria is getting better? Lol. Guy your savings in your bank has been cut more than half due to the terrible policies of this administration like border closure and banning anything 'banable'. Fintech is being strangulated, etc",[],0,NEGATIVE,0.9997
71,71,2021-08-29 20:17:05,BlessingMerole," The one in Nigeria 🇳🇬 only understands  border closure, Twitter ban, cryptocurrecy ban",[],0,NEGATIVE,0.9974
72,72,2021-08-26 19:00:20,clint_een,"Border closure and attack on twitter &amp; fin tech, should give people the hint to hide away anything that looks like personal progress away from the eyes &amp; ears of the FG  But nah, they've gone and gotten the one thing everybody should be avoiding in Buhari's Nigeria - ""attention""",[],3,NEGATIVE,0.9956
73,73,2021-08-26 01:19:20,beninghone,"Q2 2020 -6 Q2 2021 +5.1 Essential, GDP only grew by -0.9%  Nigeria economy moved from a $500bn GDP in 2015, to $375bn in 2021. That’s still a negative growth.  This growth was driven by increased volume of trade, occasioned by “Open Borders.” So Border Closure was a huge failure.",[],0,NEGATIVE,0.9978
74,74,2021-08-25 18:51:55,PierreAkinwande,"...infringement on the 36 Governors Rights to control the land in their States for their Peoples interests. 9) Illegal, discriminatory closure of Nigeria’s Southern Border with ECOWAS member States for 3 years. 10) Giving AK47 rifles to Foreign Fulanis to kill rural farmers ...",[],0,NEGATIVE,0.996
75,75,2021-08-24 14:31:51,real_ifeanyiP,Amaka please we don't need your usual bad takes on serious issues in Nigeria. Your comments are destructive.   Did you not support border closure that has ruined millions of businesses? Supported the killer herdsmen activities? Absolve this adm. of obvious shortfalls? Pls rest,[],1,NEGATIVE,0.997
76,76,2021-08-24 09:45:00,labyllionaire,Can’t expect much if you work as an analyst at a firm that was providing analysis in support of border closure in Nigeria.,[],1,NEGATIVE,0.996
77,77,2021-08-17 22:08:27,bitchYouGez,"The economic sabotage in Buhari’s administration is deliberate. He’s not dumb.  He’s trying to level southern Nigeria. The success gap between south and core north is HUGE, Since 1990s.   Price control of the forex to border closure, sick regulations and now fin-tech lol.",[],3,POSITIVE,0.6618
78,78,2021-08-17 00:12:54,_SirWilliam_,"_007 Bro, there are no coincidences in Nigeria, this is Border Closure API all over, they know what they are doing..",[],30,NEGATIVE,0.9967
79,79,2021-08-13 20:16:52,asemota,Some things are becoming clear to me. The Nigerian border closure and Buratai sent to Benin as Ambassador. Plus the overly harsh treatment of Shiites in Nigeria. Those cars from Benin are cheap and go all over the region. It will get worse as EVs replace petrol cars.  ,[],224,NEGATIVE,0.9935
80,80,2021-08-13 08:21:42,ThatAkweteChic,This bigbrother kitchen issue is just like the border closure issue in Nigeria. Lol  ,[],0,NEGATIVE,0.9764
81,81,2021-08-12 05:29:55,COCOPACOPIACO1,"MBuhari government lack intelligentsia in governance. Fulani government of Nigeria does not have THINK-TANKS. That is why every Nigeria government policies BACKFIRE fast.  IS IT? 1. BORDER CLOSURE 2. BAN ON RICE IMPORTATION  3. SIM, NIN, BVN LINKAGES 4. TWITTER BAN 5. MNK ISSUE",['mnk'],19,NEGATIVE,0.998
82,82,2021-08-11 21:28:04,novieverest,"Buhari claimed he ordered border closure to enforce Nigerians to patronize made in Nigeria goods, but man can't patronize made in Nigeria hospitals. Even his national leader and presidential hopeful Bola Tinubu can't patronize our hospitals. Yet you without sense fight for them.",[],14,POSITIVE,0.9366
83,83,2021-08-11 07:33:05,KassandraUgoch1," What did the FG of Nigeria achieve with  the partial land border closure? Is rice cheaper,Are Nigerian farmers still smiling to the banks? Is food cheaper in Nigeria?...",[],11,NEGATIVE,0.9873
84,84,2021-08-10 17:45:16,Nonsoxacin,the border closure was the most useless policy I've ever seen. it led to increased prices of goods that  refused to come down even after the border has been opened. majority of the policies carried out by this administration have been harsh &amp; have added to the hardship in Nigeria,[],0,NEGATIVE,0.998
85,85,2021-08-09 21:45:22,Davidmo03253411," The border closure achieved one aim: to tightly monitor the borders for incoming herdsmen, &amp; to achieved their plans instantaneously in Nigeria.",[],5,POSITIVE,0.9862
86,86,2021-08-07 10:25:26,balogunfd," There isn't argument about Benin benefiting a great deal from Nigeria. Referencing the case of Tidjani in 2003, Obj shocked them with border closure. In 2021, they can't be shocked by border closure again. Despite Dan Duara closing borders, their economy recorded growth.",[],0,POSITIVE,0.994
87,87,2021-08-07 08:10:34,balogunfd,"  Dan Daura's border close has huge impact on their economy. Nigeria is their largest market. However,  surving the unplanned &amp; what looks like indefinite border closure made them stronger. It's gonna be a serious diplomacy this time, unlike Tidjani's case in 2003.",[],0,POSITIVE,0.999
88,88,2021-07-28 13:14:45,fasakinolawale,"The economic blockade going on in the south of Nigeria is enough reason to demand secession.  Border closure that hasn't yielded positive results, withdrawal of licences for fire arms, over-taxation of struggling businesses with zero financial support from government.  Clueless!",[],0,NEGATIVE,0.9987
89,89,2021-07-24 00:59:59,OnochieEgwuatu1," Why must you insist he defends it? Have Nigeria defended why dollar is 500+, why twitter ban,why border closure and why the killings in the SE?. Why must I now tell my friend to defend why he is suspicious of everything around his immediate environment?",[],0,NEGATIVE,0.9986
90,90,2021-07-23 17:36:23,angelarmor777," Nigeria is not for U my brothers &amp; sisters. Having your own self-actualization state is the next step, the suppression of the Southerns will always come at play every day. Think Border closure &amp; other inflation in our society in the South. They are using the old style of tyranny.",[],6,NEGATIVE,0.5169
91,91,2021-07-22 11:45:02,_UcheJN," supports everything buhari does to Nigerians.  From border closure, to incompetence on insecurity, to stupid decisions the buhari admin makes.  I'm a victim of the madness he supports cos I live in Nigeria.   deserves whatever vile stuffs he's getting",[],2,NEGATIVE,0.9975
92,92,2021-07-22 11:44:47,_UcheJN,"  supports everything buhari does to Nigerians.  From border closure, to incompetence on insecurity, to stupid decisions the buhari admin makes.  I'm a victim of the madness he supports cos I live in Nigeria.   deserves whatever vile stuffs he's getting",[],12,NEGATIVE,0.9975
93,93,2021-07-19 19:21:38,iheanachoELL," Fulanis herdsm, bad economic policies of buhari and border closure caused poverty and food inflation in Nigeria",[],0,NEGATIVE,0.9978
94,94,2021-07-19 11:05:47,uduma_divine, Tweeter ban is part of the project to cage information it's not about deleting the president tweet it's because with tweeter a lot of atrocities in Nigeria is being exposed to the world as for border closure it's only working in the southern part of the country,[],0,NEGATIVE,0.9954
95,95,2021-07-18 21:43:00,rhosidat,"Hike in Food Prices… With Nigeria depending on food import for a tenth of its food needs, border closures and restrictions on movement during spring and summer months have also affected the availability of food in the markets.",[],3,NEGATIVE,0.9886
96,96,2021-07-15 07:53:47,basilabia,I still insist that the most devastating government policy in Nigeria’s history since the advent of the fourth republic is the land border closure policy promulgated and then implemented by this spectacularly inept bastard  in 2019.   Food inflation is now cataclysmic!,[],0,NEGATIVE,0.9992
97,97,2021-07-14 06:56:26,Fin_Disu,I had an argument with a BMC guy who claimed that covid 19 caused food inflation in Nigeria and not Buhari’s border closure and import restrictions.,[],0,NEGATIVE,0.991
98,98,2021-07-11 23:33:17,adeoluwa09, He should hav sought for a way to stay back in the US. Nigeria will disappoint you as always. How many businesses has the ban affectes? So many. The government stll closed the border knowing fully tbeir was no gain from its closure. Churn out figures from the customs😏 yet borrow,[],51,NEGATIVE,0.9991
99,99,2021-07-07 04:47:38,haleemak_,"Nigeria’s response has been a qualified success, in that early action on lockdowns, border closures &amp; adoption of a set of effective NPIs appears to have limited transmission; the response has also been used to strengthen surveillance &amp; laboratory capacity  ",[],6,POSITIVE,0.9606
100,100,2021-07-05 16:46:21,madona1996,Under buhari's watch ---- Electric car --- yes! Electronic voting and transmission of results --- No! One Nigeria in the South but ISWAP and others in the north! Border closure in South and open borders in the north!  Me - No justice No Peace 🙃🙃,[],6,NEGATIVE,0.9929
101,101,2021-06-28 18:35:00,14NStrategies,"What's driving Nigeria’s food inflation? A combination of the steady naira depreciation, insecurity in the Northern food-producing areas, longstanding border closure, &amp; frequent one-off events such as onion blockade in early June are some big reasons.   ",['nigeria'],1,NEGATIVE,0.9934
102,102,2021-06-28 16:57:06,MrPa_Johnson,"If the 2015 recession, border closure plus COVID-19 of last year has not promoted Made in Nigeria enough, then I'm afraid nothing else will. Leave tribal outfit make him face insecurity, economy and infrastructure biko",[],0,NEGATIVE,0.9972
103,103,2021-06-28 03:06:53,TheFourthRep,"Fascinating, and scary re: food inflation in Nigeria (an obvious concern that little in Western media/academia are discussing)  I don't believe garri is imported into Nigeria in large amounts. Nor has it been impacted by Buhari's foolish border closures...Middle Belt insecurity?",['nigeria'],0,POSITIVE,0.9842
104,104,2021-06-27 10:03:54,Earthtribeboy,"Cassava farmers didn't recover from the glut in 2019. Labour shortage as a result of the border closure didn't help farming last year. Yes, Nigeria has shortage of garri processors. Forget whatever you think you know or heard about your Village, they need foreigners to process.",[],0,NEGATIVE,0.9978
105,105,2021-06-26 04:29:38,omowe__,_min_yi _NGR    How do you develop content with this dumbed-down sense? “Who caused the economy to dwindle?”  The whole world witnessed an economic meltdown in 2016 and 2020. Nigeria came out of both against every economic prediction. But you're here talking about border closure. Damn!! Children,[],10,NEGATIVE,0.9983
106,106,2021-06-25 21:25:06,omorogiec,"@_SirWilliam_ Every ugly thing happening now in Nigeria is a direct effect of poor handling of our economy.  This all time food inflation is the result of border closure + insecurity in the land.  Again, Mr. Buhari has made border closure a hill to die upon",[],19,NEGATIVE,0.9996
107,107,2021-06-23 23:01:19,KamahlAJE,"📺 In the first of his two reports,  is in Seme - close to neighbouring Benin - on how border closures have been unable to stop the flow of illegal weapons into Nigeria.  AJCTC (3/6)  ","['nigeria', 'ajctc']",1,POSITIVE,0.5891
108,108,2021-06-22 21:22:16,Adekbolaji,"  Pray tell, which of these items save for 8 isn’t produced in Nigeria that border closure should be the reason why the prices will go up? Please educate me.",[],1,NEGATIVE,0.8555
109,109,2021-06-22 09:54:26,abdul_ndk,"               _PR If border closure has effect on the prices of Beans, Garri, Millet, Yam flour, Egg, Maize and 'Local rice' as shown in the table, means they were been imported, and if they were, it's a shame on Nigeria and kudos to border closure.",[],0,NEGATIVE,0.9992
